"ROW_ID","ICD9_CODE","SHORT_TITLE","LONG_TITLE"
174,"01166","TB pneumonia-oth test","Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
175,"01170","TB pneumothorax-unspec","Tuberculous pneumothorax, unspecified"
176,"01171","TB pneumothorax-no exam","Tuberculous pneumothorax, bacteriological or histological examination not done"
177,"01172","TB pneumothorx-exam unkn","Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
178,"01173","TB pneumothorax-micro dx","Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
179,"01174","TB pneumothorax-cult dx","Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
180,"01175","TB pneumothorax-histo dx","Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
181,"01176","TB pneumothorax-oth test","Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
182,"01180","Pulmonary TB NEC-unspec","Other specified pulmonary tuberculosis, unspecified"
183,"01181","Pulmonary TB NEC-no exam","Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
184,"01182","Pulmon TB NEC-exam unkn","Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
185,"01183","Pulmon TB NEC-micro dx","Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
186,"01184","Pulmon TB NEC-cult dx","Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
187,"01185","Pulmon TB NEC-histo dx","Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
188,"01186","Pulmon TB NEC-oth test","Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
189,"01190","Pulmonary TB NOS-unspec","Pulmonary tuberculosis, unspecified, unspecified"
190,"01191","Pulmonary TB NOS-no exam","Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
191,"01192","Pulmon TB NOS-exam unkn","Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
192,"01193","Pulmon TB NOS-micro dx","Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
193,"01194","Pulmon TB NOS-cult dx","Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
194,"01195","Pulmon TB NOS-histo dx","Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
195,"01196","Pulmon TB NOS-oth test","Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
196,"01200","TB pleurisy-unspec","Tuberculous pleurisy, unspecified"
